,Absolute Distance to BestKnownHypervolume,Best known hypervolume,BestKnownFront,Bounds,Crowding,Encoding.Bounds,Encoding.ProblemSize,Execution Time,Generational Distance,Hypervolume,Pareto Front,ProblemSize,Seed,Spacing,TestFunction
NSGA-II Run 6,0.01148336,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.081715877,[[0;1]],50,00:24.0,0.00037405,120.6551833,[[1;2.88180483593973E-07][0;1.00000057109071][0.143070122058677;0.621754352928156][0.68199476337959;0.174170598443997][...]],50,500584887,0.012859242,ZDT1
NSGA-II Run 5,0.010528898,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.081521207,[[0;1]],50,00:24.9,0.000399117,120.3228044,[[0;1.00000144604079][1;2.98247638166699E-06][0.820688812082004;0.326472349150411][0.844931836053555;0.286092795743691][...]],50,1409204758,0.012283578,ZDT2
NSGA-II Run 5,1.136630106,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044479278,[[0;1][-5;5]],30,00:24.9,0.04712622,119.5300366,[[0;1][1;0.105618570879771][0.651665408324154;0.278005406582417][0.711535452452035;0.245569343972527][...]],30,1978670070,0.007287709,ZDT4
NSGA-II Run 6,0.006367538,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.107459302,[[0;1]],50,00:25.4,0.001484625,128.7717486,[[0.851829148448839;-0.773369006491634][0;1.0000000000158][0.618400372326448;-0.124280892401636][0.40931481421405;0.24214583754959][...]],50,267548602,0.018136117,ZDT3
NSGA-II Run 7,0.012165303,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.082414771,[[0;1]],50,00:24.8,0.000688684,120.6545014,[[0;1.00000044874671][1;2.24368968168036E-07][0.547137409209454;0.260312912945695][0.456907899598105;0.324050671301947][...]],50,1843505622,0.008435307,ZDT1
NSGA-II Run 6,1.137219876,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044724258,[[0;1][-5;5]],30,00:25.8,0.046942012,119.5294468,[[0;1][1;0.105576780807862][0.118352269702428;0.692297297524365][0.916344197300366;0.14380573374176][0.148228949792884;0.655642462289628][...]],30,1343957439,0.011876397,ZDT4
NSGA-II Run 6,0.011619107,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.081444344,[[0;1]],50,00:26.0,0.000335067,120.3217142,[[1;1.45796195961522E-06][0;1.00000072166309][0.754163429375177;0.431238670288118][0.710887185440023;0.494640514789722][...]],50,1070669140,0.010245514,ZDT2
NSGA-II Run 7,0.007340769,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.107641768,[[0;1]],50,00:26.4,0.001332521,128.7707754,[[0;1.00000000001376][0.851819837576294;-0.773368940758063][0.652524564483395;-0.45826327212272][0.453881932232414;-0.124218444732723][...]],50,1494405,0.017621514,ZDT3
NSGA-II Run 8,0.011310303,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.081390803,[[0;1]],50,00:25.3,0.000551289,120.6553564,[[0;1.0000008091785][1;4.04297570041124E-07][0.302531452750307;0.449972001547592][0.443101149997697;0.334342108494522][...]],50,258726672,0.010716892,ZDT1
NSGA-II Run 7,0.036789159,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.046973728,[[0;1][-5;5]],30,00:26.3,0.001246411,120.6298775,[[0;1][1;0.00223080925181263][0.784232490023034;0.116419056301883][0.714699472364382;0.156516737302462][...]],30,1090698755,0.01286734,ZDT4
NSGA-II Run 7,0.011276382,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.082645985,[[0;1]],50,00:26.5,0.000389008,120.322057,[[1;8.14172151678947E-06][0;1.00000408590287][0.789885231404197;0.376087934391648][0.86246674529486;0.256158213386836][...]],50,983520563,0.009674491,ZDT2
NSGA-II Run 8,0.00698306,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.10866253,[[0;1]],50,00:27.0,0.001507886,128.7711331,[[0;1.00000000000003][0.851887974899359;-0.77336773176534][0.453874308711234;-0.124218430981759][0.65250573451381;-0.458263314137947][...]],50,1713085951,0.020737155,ZDT3
NSGA-II Run 9,0.012770789,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.081229535,[[0;1]],50,00:25.8,0.000410713,120.6538959,[[1;2.19368397546805E-07][0;1.00000044364563][0.0242036736655269;0.844425111267727][0.291426035529522;0.460161431430488][...]],50,1780776586,0.012954801,ZDT1
NSGA-II Run 8,0.030806559,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044824186,[[0;1][-5;5]],30,00:27.0,0.001132303,120.6358601,[[0;1][1;0.00178125666435103][0.721676313709848;0.152002884604268][0.471168247226037;0.314818688204825][...]],30,343228846,0.008116388,ZDT4
NSGA-II Run 8,0.011885193,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.081844399,[[0;1]],50,00:27.2,0.000440035,120.3214481,[[0;1.00000127267987][1;2.33462528151304E-06][0.937406872229081;0.121270936791902][0.666613875321467;0.555627771129643][...]],50,1941808830,0.010103148,ZDT2
NSGA-II Run 9,0.006426462,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.109565869,[[0;1]],50,00:27.5,0.001254967,128.7716897,[[0.851822528636549;-0.773368967275664][0;1][0.652501954927198;-0.458263294906912][0.453883778418549;-0.124218444113481][...]],50,676538185,0.019140647,ZDT3
NSGA-II Run 10,0.011486221,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.082060297,[[0;1]],50,00:25.7,0.000735221,120.6551804,[[1;3.215073261056E-07][0;1.00000063554864][0.719609085688461;0.151702618712742][0.927716011986506;0.0368202965173066][...]],50,667683206,0.011333236,ZDT1
NSGA-II Run 9,1.143238155,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.045580836,[[0;1][-5;5]],30,00:27.0,0.045738301,119.5234285,[[0;1][1;0.106097301088786][0.620342573440198;0.295947149548548][0.188417239776214;0.611983203465452][...]],30,2066266998,0.010846261,ZDT4
NSGA-II Run 9,0.011338357,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.081929805,[[0;1]],50,00:27.1,0.000429034,120.321995,[[1;1.75993396126475E-06][0;1.00000089419402][0.519511118815726;0.730109395789093][0.810396584250358;0.34325886720644][...]],50,690605942,0.010231759,ZDT2
NSGA-II Run 10,0.00684027,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.109215896,[[0;1]],50,00:27.4,0.001216707,128.7712759,[[0;1.00000000000001][0.851829991445146;-0.773369008844025][0.652512878433199;-0.458263325225955][0.618397778062576;-0.124235613054146][...]],50,2032980282,0.018084702,ZDT3
NSGA-II Run 11,0.011819236,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.083266447,[[0;1]],50,00:25.8,0.000432411,120.6548474,[[0;1.00000139477425][1;8.69445014170869E-07][0.011898827657497;0.890919849406745][0.0365754339333872;0.808754800539121][...]],50,1173548178,0.010587314,ZDT1
NSGA-II Run 10,1.144552455,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044472095,[[0;1][-5;5]],30,00:26.8,0.04793648,119.5221142,[[0;1][1;0.106404131714388][0.329393116110369;0.487140540649774][0.0193389178577635;0.875732597434873][...]],30,1027883147,0.008238579,ZDT4
NSGA-II Run 10,0.0115386,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.081614064,[[0;1]],50,00:26.8,0.000413861,120.3217947,[[0;1.00000082804702][1;1.65736374132842E-06][0.524748759831844;0.724639796067282][0.0869291708709345;0.992444156373576][...]],50,1232534915,0.012912942,ZDT2
NSGA-II Run 11,0.006873109,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.113816535,[[0;1]],50,00:27.5,0.001275164,128.771243,[[0.851835588131995;-0.773369009182197][0;1.00000000003498][0.453878548105385;-0.124218441860677][0.409315602133117;0.242135293384335][...]],50,1015366128,0.020730542,ZDT3
NSGA-II Run 12,0.013089996,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.082017024,[[0;1]],50,00:26.0,0.00046576,120.6535767,[[0;1.00000084852887][1;4.21189875173516E-07][0.77399339647231;0.120232224606973][0.11051916335964;0.667556481375012][...]],50,531425512,0.010019232,ZDT1
NSGA-II Run 11,0.019871233,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.046045912,[[0;1][-5;5]],30,00:26.8,0.000530545,120.6467954,[[0;1][1;0.000518137754711434][0.185660831922667;0.569339568983487][0.104388358244714;0.677075570670628][...]],30,200002480,0.011201503,ZDT4
NSGA-II Run 11,0.011621088,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.082282093,[[0;1]],50,00:27.0,0.000364606,120.3217122,[[0;1.00000041412118][1;8.18997946663649E-07][0.790790621070526;0.374650866749409][0.826624977794347;0.31669184385161][...]],50,334166202,0.008562696,ZDT2
NSGA-II Run 12,0.006416598,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.106567092,[[0;1]],50,00:27.6,0.001022844,128.7716995,[[0;1.00000000004726][0.851798572377742;-0.773368516462845][0.65252827800642;-0.458263236714916][0.453882341348137;-0.12421844470055][...]],50,883412433,0.014325865,ZDT3
NSGA-II Run 13,0.01194745,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.082421439,[[0;1]],50,00:25.8,0.000579761,120.6547192,[[1;4.69201858463119E-07][0;1.00000094022342][0.0235156579665066;0.846652709764924][0.971932380321703;0.0141341744097347][...]],50,1233428594,0.012977347,ZDT1
NSGA-II Run 12,0.011407547,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.045487531,[[0;1][-5;5]],30,00:26.9,0.000380222,120.6552591,[[0;1][1;4.80921364520714E-06][0.519377557869523;0.279326005919533][0.570780564642139;0.244503509710238][...]],30,1073732075,0.009386115,ZDT4
NSGA-II Run 12,0.011212252,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.083344396,[[0;1]],50,00:27.0,0.000355866,120.3221211,[[1;2.21648540724773E-06][0;1.00000109747991][0.979235197781991;0.0411005615327592][0.31129726433778;0.90309521764288][...]],50,227228301,0.010414302,ZDT2
NSGA-II Run 13,0.007066722,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.107809312,[[0;1]],50,00:27.8,0.001358964,128.7710494,[[0.851815870082694;-0.773368890542154][0;1.00000000000063][0.652501743908754;-0.458263293560255][0.618411901108409;-0.124482088747604][...]],50,1644273877,0.020817847,ZDT3
NSGA-II Run 14,0.012376971,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.08241836,[[0;1]],50,00:26.1,0.001271305,120.6542897,[[0;1.00000134879925][1;6.55337474018214E-07][0.0234571663080047;0.846843952051106][0.950784945974851;0.0249186890256193][...]],50,941894026,0.011880474,ZDT1
NSGA-II Run 13,0.236713958,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.045449379,[[0;1][-5;5]],30,00:27.1,0.009629048,120.4299527,[[0;1][1;0.0210956125199144][0.499511751380456;0.308788326606636][0.199247982377783;0.563044466837912][...]],30,867247124,0.013346524,ZDT4
NSGA-II Run 13,0.011606708,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.083821747,[[0;1]],50,00:27.2,0.000330427,120.3217266,[[1;4.01426457256859E-06][0;1.00000200019666][0.895263302496109;0.198507732594017][0.608910508243308;0.629230851077097][...]],50,1611192253,0.012841358,ZDT2
NSGA-II Run 14,0.006562803,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.108163619,[[0;1]],50,00:27.5,0.001351993,128.7715533,[[0;1.00000000000129][0.851827014461611;-0.773368997891853][0.652512653272619;-0.458263325380015][0.823350632786479;-0.458648269413543][...]],50,236872142,0.016091186,ZDT3
NSGA-II Run 15,0.012006836,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.082400864,[[0;1]],50,00:26.2,0.000406625,120.6546598,[[0;1.00000108526059][1;5.44296314676343E-07][0.138901871287438;0.627305543742005][0.189606101054266;0.564563047345701][...]],50,742613400,0.01176325,ZDT1
NSGA-II Run 14,1.137844571,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044669042,[[0;1][-5;5]],30,00:27.5,0.044766372,119.5288221,[[0;1][1;0.105701560813584][0.337505532190365;0.480461338530713][0.0020682942071949;0.95932911902574][...]],30,1894935735,0.010456313,ZDT4
NSGA-II Run 14,0.010657303,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.082490044,[[0;1]],50,00:27.7,0.000337658,120.322676,[[0;1.00000123891636][1;2.47466774915707E-06][0.679447100447712;0.538353461098256][0.820613938587387;0.32659485202801][...]],50,1889175560,0.011637089,ZDT2
NSGA-II Run 15,0.006805179,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.114207905,[[0;1]],50,00:27.8,0.001234749,128.771311,[[0;1][0.851831715314907;-0.773369011768911][0.409325905526856;0.241997413430895][0.652510301148399;-0.458263325035716][...]],50,470872834,0.017699958,ZDT3
NSGA-II Run 16,0.011037364,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.082546568,[[0;1]],50,00:26.3,0.000568461,120.6556293,[[1;1.48851561787248E-06][0;1.00000299617759][0.308188225678827;0.444855155392354][0.675010093860054;0.178411790501511][...]],50,1245193921,0.009377767,ZDT1
NSGA-II Run 15,1.15517204,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044744556,[[0;1][-5;5]],30,00:27.5,0.044324696,119.5114946,[[0;1][1;0.107173615880133][0.427833539244404;0.416011386647854][0.821183626669531;0.190928041954635][...]],30,1757960066,0.013705632,ZDT4
NSGA-II Run 15,0.012187164,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.082217297,[[0;1]],50,00:27.7,0.000396744,120.3211462,[[0;1.00000182145696][1;3.72018433711172E-06][0.0767588321208721;0.994109976622622][0.757256048088331;0.426566210578511][...]],50,316910543,0.010385781,ZDT2
NSGA-II Run 16,0.006137142,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.108013842,[[0;1]],50,00:27.9,0.001504211,128.771979,[[0.851843854156928;-0.773368961400723][0;1.00000000002337][0.652511244457269;-0.458263325590368][0.453866432317238;-0.124218389092458][...]],50,205129297,0.01470968,ZDT3
NSGA-II Run 17,0.011918123,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.080079131,[[0;1]],50,00:26.0,0.000407716,120.6547485,[[1;3.24113523065094E-07][0;1.00000064279103][0.255725073962023;0.494307812136021][0.418140329454798;0.353362766627003][...]],50,1744866001,0.014781414,ZDT1
NSGA-II Run 16,0.011120497,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.0452302,[[0;1][-5;5]],30,00:27.6,0.000508887,120.6555462,[[0;1][1;6.74586402182875E-07][0.851678970198873;0.0771360894098829][0.606124906532323;0.221460284832612][...]],30,130490564,0.010499305,ZDT4
NSGA-II Run 16,0.012016773,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.080793043,[[0;1]],50,00:27.4,0.00042493,120.3213166,[[1;2.43637176999091E-06][0;1.00000126385163][0.828682115464464;0.313288169088331][0.0578176460328611;0.996658402276209][...]],50,1607515496,0.013374484,ZDT2
NSGA-II Run 17,0.006558205,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.106365203,[[0;1]],50,00:28.0,0.001332604,128.7715579,[[0;1.00000000001594][0.851794541890543;-0.773368393081749][0.823334498447823;-0.458318522301508][0.409315258308817;0.242139894530359][...]],50,238864373,0.013644085,ZDT3
NSGA-II Run 18,0.012248359,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.082621067,[[0;1]],50,00:26.4,0.000417928,120.6544183,[[0;1.00000044334598][1;2.17617042287465E-07][0.0991073721897111;0.685187165776548][0.149135354753657;0.613819902623575][...]],50,1543065744,0.011891957,ZDT1
NSGA-II Run 17,0.013654655,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.045392945,[[0;1][-5;5]],30,00:27.4,0.000437384,120.653012,[[0;1][1;6.34188144653658E-05][0.301719834642045;0.45074298048011][0.225827644860364;0.524816198263916][...]],30,1902161027,0.011696519,ZDT4
